ADV,LAT,LON,TIME,WIND,PR,STAT
1,6.5,155.4,11/03/20Z,35,-,TROPICAL STORM
1,6.4,156,11/03/06Z,25,-,TROPICAL DEPRESSION
2,6.4,154.3,11/03/12Z,30,-,TROPICAL DEPRESSION
3,6.4,152.7,11/03/18Z,30,-,TROPICAL DEPRESSION
4,6,151.6,11/04/00Z,35,-,TROPICAL STORM
4,6,151,11/04/14Z,35,-,TROPICAL STORM
5,6,149.5,11/04/20Z,65,-,TYPHOON-1
6,6.1,148.3,11/04/12Z,45,-,TROPICAL STORM
7,6.6,146.7,11/05/08Z,35,-,TROPICAL STORM
8,6.4,145.9,11/05/00Z,65,-,TYPHOON-1
9,6.4,144.5,11/05/06Z,65,-,TYPHOON-1
10,6.8,143,11/05/12Z,90,-,TYPHOON-2
11,7.1,141.2,11/05/18Z,105,-,TYPHOON-3
12,7.4,139.6,11/06/00Z,130,-,SUPER TYPHOON-4
13,7.6,138,11/06/06Z,135,-,SUPER TYPHOON-4
14,7.9,136.2,11/06/12Z,140,-,SUPER TYPHOON-5
15,8.2,134.4,11/06/18Z,150,-,SUPER TYPHOON-5
16,8.6,132.8,11/07/00Z,150,-,SUPER TYPHOON-5
18,10.2,129.1,11/07/12Z,165,-,SUPER TYPHOON-5
19,10.6,127,11/07/18Z,170,-,SUPER TYPHOON-5
20,11,124.8,11/08/00Z,160,-,SUPER TYPHOON-5
21,11.4,122.6,11/08/06Z,145,-,SUPER TYPHOON-5
22,11.8,120.6,11/08/12Z,135,-,SUPER TYPHOON-4
23,12.4,118.1,11/08/18Z,125,-,SUPER TYPHOON-4
24,12.3,116.2,11/09/00Z,115,-,TYPHOON-4
25,13.5,114.8,11/09/06Z,105,-,TYPHOON-3
26,14.5,113.2,11/09/12Z,100,-,TYPHOON-3
27,15.5,111.4,11/09/18Z,90,-,TYPHOON-2
28,16.3,110.2,11/10/00Z,85,-,TYPHOON-2
29,17.8,109,11/10/06Z,80,-,TYPHOON-1
30,19.3,108.1,11/10/12Z,75,-,TYPHOON-1
31,20.5,107.3,11/10/18Z,65,-,TYPHOON-1
32,21.8,107.2,11/11/00Z,60,-,TROPICAL STORM
