SourceFile,DATE,TIME,REGION,PROVINCE,MUNICIPALITY,BRGYS,AFFECTED_FAM,AFFECTED_PERSONS,ECS_CUM,ECS_NOW,IDP_EC_FAM_CUM,IDP_EC_FAM_NOW,IDP_IN_EC_PERS_CUM,IDP_IN_EC_PERS_NOW,IDP_OUT_EC_FAM_CUM,IDP_OUT_EC_FAM_NOW,IDP_OUT_EC_PERS_CUM,IDP_OUT_EC_PERS_NOW,TOT_IDP_FAM_CUM,TOT_IDP_FAM_NOW,TOT_IDP_PERS_CUM,TOT_IDP_PERS_NOW,TOT_HOUSE_DAMAGED,HOUSE_TOTALLY_DAMAGED,HOUSE_PARTIALLY_DAMAGED,LATEST_INFO,CONCATENATE,REGION STD,PROVINCE STD,MUNICIPALITY STD,PCODE3,MapProvinceName
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Abra de Ilog,9,722,2831,12,0,371,0,1423,0,351,,1408,,722,0,2831,0,133,25,108,TRUE,IV-BOCC. MINDOROAbra de Ilog,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,ABRA DE ILOG,175101000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Calintaan,4,276,1266,4,0,276,0,1266,0,,,,,276,0,1266,0,149,8,141,TRUE,IV-BOCC. MINDOROCalintaan,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,CALINTAAN,175102000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Looc,4,98,490,4,0,98,0,490,0,,,,,98,0,490,0,38,2,36,TRUE,IV-BOCC. MINDOROLooc,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,LOOC,175103000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Lubang,5,212,1012,5,0,212,0,1012,0,,,,,212,0,1012,0,0,,,TRUE,IV-BOCC. MINDOROLubang,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,LUBANG,175104000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Magsaysay,8,1047,2813,9,0,1047,0,2813,0,,,,,1047,0,2813,0,1713,306,1407,TRUE,IV-BOCC. MINDOROMagsaysay,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,MAGSAYSAY,175105000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Mamburao,5,908,4540,8,0,908,0,4540,0,,,,,908,0,4540,,0,,,TRUE,IV-BOCC. MINDOROMamburao,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,MAMBURAO (CAPITAL),175106000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Palauan,1,168,840,5,0,168,0,840,0,,,,,168,0,840,0,5,,5,TRUE,IV-BOCC. MINDOROPalauan,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,PALUAN,175107000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Rizal,10,555,2452,22,0,555,0,2452,0,,,,,555,0,2452,0,357,26,331,TRUE,IV-BOCC. MINDORORizal,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,RIZAL,175108000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Sablayan,5,2197,10985,17,0,2197,0,10985,0,,,,,2197,0,10985,0,0,,,TRUE,IV-BOCC. MINDOROSablayan,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,SABLAYAN,175109000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,San Jose,1,3660,17095,29,0,3555,0,16537,0,105,,558,,3660,0,17095,0,863,237,626,TRUE,IV-BOCC. MINDOROSan Jose,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,SAN JOSE,175110000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,OCC. MINDORO,Sta. Cruz,5,257,1285,5,0,257,0,1285,0,,,,,257,0,1285,0,378,50,328,TRUE,IV-BOCC. MINDOROSta. Cruz,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,SANTA CRUZ,175111000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,MARINDUQUE,Boac,25,856,3386,33,0,856,0,3386,0,,,,,856,0,3386,0,14,2,12,TRUE,IV-BMARINDUQUEBoac,REGION IV-B (MIMAROPA),MARINDUQUE,BOAC (CAPITAL),174001000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,MARINDUQUE,Buenavista,9,360,1365,14,0,360,0,1365,0,,,,,360,0,1365,0,0,0,0,TRUE,IV-BMARINDUQUEBuenavista,REGION IV-B (MIMAROPA),MARINDUQUE,BUENAVISTA,174002000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,MARINDUQUE,Gasan,13,385,1850,26,0,385,0,1850,0,,,,,385,0,1850,0,134,3,131,TRUE,IV-BMARINDUQUEGasan,REGION IV-B (MIMAROPA),MARINDUQUE,GASAN,174003000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,MARINDUQUE,Mogpog,17,235,983,20,0,235,0,983,0,,,,,235,0,983,0,15,,15,TRUE,IV-BMARINDUQUEMogpog,REGION IV-B (MIMAROPA),MARINDUQUE,MOGPOG,174004000,Err:508
IV B rpt. 131 T. Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,IV-B,MARINDUQUE,Sta. Cruz,12,103,275,12,0,103,0,275,0,,,,,103,0,275,0,0,,,TRUE,IV-BMARINDUQUESta. Cruz,REGION IV-B (MIMAROPA),MARINDUQUE,SANTA CRUZ,174005000,Err:508
